config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail20_test3,1,0.0.5.1,15540,111000,1248,1690164,461132,2279084
fail20_test3,1,0.0.5.2,16328,88760,576,1744248,529916,2379828
fail20_test3,1,0.0.5.3,17008,66976,372,1922112,591252,2597720
fail20_test3,1,0.0.5.4,16432,78512,360,1774936,536428,2406668
fail20_test3,1,0.0.5.5,15548,99988,384,1619380,400320,2135620
fail20_test3,1,0.0.5.6,15748,105168,660,1720916,513916,2356408
fail20_test3,1,0.0.6.1,15600,103488,1476,1340112,437864,1898540
fail20_test3,1,0.0.6.2,15764,98840,696,1285388,445760,1846448
fail20_test3,1,0.0.6.3,16516,85560,960,1352056,486440,1941532
fail20_test3,1,0.0.6.4,15760,100688,1500,1344688,435780,1898416
fail20_test3,1,0.0.6.5,15460,124744,1020,1302696,413736,1857656
fail20_test3,1,0.0.6.6,15716,102724,876,1272088,442408,1833812
fail20_test3,1,0.0.7.1,15360,103108,528,1615308,449936,2184240
fail20_test3,1,0.0.7.2,16232,93932,636,1669236,507392,2287428
fail20_test3,1,0.0.7.3,15840,103488,576,1676444,486672,2283020
fail20_test3,1,0.0.7.4,15748,94228,1164,1629488,484404,2225032
fail20_test3,1,0.0.7.5,15940,100704,1056,1624124,483636,2225460
fail20_test3,1,0.0.7.6,15404,106208,624,1591144,439420,2152800
fail20_test3,1,0.0.8.1,16664,73404,528,1871576,537472,2499644
fail20_test3,1,0.0.8.2,15304,118740,492,1670000,445880,2250416
fail20_test3,1,0.0.8.3,15744,102236,588,1635708,470248,2224524
fail20_test3,1,0.0.8.4,15588,95552,612,1704876,471780,2288408
fail20_test3,1,0.0.8.5,15692,109428,792,1653400,468132,2247444
fail20_test3,1,0.0.8.6,16664,78000,468,1770088,529904,2395124
fail20_test3,1,0.0.9.1,15596,99344,768,1907552,498056,2521316
fail20_test3,1,0.0.9.2,16376,91728,612,1876008,536256,2520980
fail20_test3,1,0.0.9.3,16316,91020,396,1753156,498464,2359352
fail20_test3,1,0.0.9.4,16080,82844,264,1875104,524712,2499004
fail20_test3,1,0.0.9.5,15304,98968,444,1790408,469624,2374748
fail20_test3,1,0.0.9.6,15592,118644,816,1751648,486412,2373112
fail20_test3,1,0.0.10.1,16076,83560,768,1913472,535488,2549364
fail20_test3,1,0.0.10.2,17196,66596,504,1962964,595356,2642616
fail20_test3,1,0.0.10.3,16272,91492,372,1856524,529776,2494436
fail20_test3,1,0.0.10.4,15116,99820,540,1773732,489128,2378336
fail20_test3,1,0.0.10.5,14232,130196,696,1551760,394172,2091056
fail20_test3,1,0.0.10.6,15444,113352,780,1661996,477812,2269384
fail20_test3,1,0.0.11.1,15796,114044,1440,1599940,455672,2186892
fail20_test3,1,0.0.11.2,16428,104168,684,1697132,519640,2338052
fail20_test3,1,0.0.11.3,17540,63008,540,1775036,611832,2467956
fail20_test3,1,0.0.11.4,16572,89088,828,1681992,559828,2348308
fail20_test3,1,0.0.11.5,16812,73528,504,1694544,568576,2353964
fail20_test3,1,0.0.11.6,15400,119088,720,1493528,453680,2082416
fail20_test4,1,0.0.1.1,15352,106956,1140,1358052,398528,1880028
fail20_test4,1,0.0.1.2,15692,111680,720,1262440,405924,1796456
fail20_test4,1,0.0.1.3,15608,109488,876,1353820,422220,1902012
fail20_test4,1,0.0.1.4,15880,93704,744,1298584,426176,1835088
fail20_test4,1,0.0.1.5,15800,95940,648,1343748,431056,1887192
fail20_test4,1,0.0.1.6,16540,77504,900,1326236,456384,1877564
fail20_test4,1,0.0.2.1,15532,105708,672,1708844,435252,2266008
fail20_test4,1,0.0.2.2,15100,124296,720,1484740,393940,2018796
fail20_test4,1,0.0.2.3,15348,118604,708,1544296,438096,2117052
fail20_test4,1,0.0.2.4,15732,121976,960,1570784,447112,2156564
fail20_test4,1,0.0.2.5,15408,120680,492,1649224,458156,2243960
fail20_test4,1,0.0.2.6,17156,64436,276,1701960,557484,2341312
fail20_test4,1,0.0.3.1,15192,122316,612,1845316,442708,2426144
fail20_test4,1,0.0.3.2,15936,96488,432,1785176,514092,2412124
fail20_test4,1,0.0.3.3,16608,90356,648,1831544,534184,2473340
fail20_test4,1,0.0.3.4,16224,98864,432,1839632,501300,2456452
fail20_test4,1,0.0.3.5,15984,97620,372,1831504,504508,2449988
fail20_test4,1,0.0.3.6,17244,66556,204,1764860,554420,2403284
fail20_test4,1,0.0.4.1,14724,132356,1152,1639948,402512,2190692
fail20_test4,1,0.0.4.2,15592,96212,492,1692924,485996,2291216
