config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail10_test3,1,0.0.8.6,17688,40968,156,1224784,362784,1646380
fail10_test3,1,0.0.9.1,16760,74992,228,1161140,313764,1566884
fail10_test3,1,0.0.9.2,16756,80292,192,1104876,310132,1512248
fail10_test3,1,0.0.9.3,17444,68436,156,1151680,335296,1573012
fail10_test3,1,0.0.9.4,17984,46972,144,1255544,360412,1681056
fail10_test3,1,0.0.9.5,17732,55844,72,1191540,343960,1609148
fail10_test3,1,0.0.9.6,16816,93868,312,1124796,314472,1550264
fail10_test3,1,0.0.10.1,16028,99308,324,1069656,282508,1467824
fail10_test3,1,0.0.10.2,16716,88760,108,1042652,305184,1453420
fail10_test3,1,0.0.10.3,17244,73588,120,1084512,314880,1490344
fail10_test3,1,0.0.10.4,16524,88472,252,1042020,298120,1445388
fail10_test3,1,0.0.10.5,17444,66140,264,1100888,329340,1514076
fail10_test3,1,0.0.10.6,18320,33032,264,1152876,366476,1570968
fail10_test3,1,0.0.11.1,17640,50896,288,1153452,352904,1575180
fail10_test3,1,0.0.11.2,17884,48528,144,1121836,354860,1543252
fail10_test3,1,0.0.11.3,16820,82988,396,1040612,307624,1448440
fail10_test3,1,0.0.11.4,16580,73364,360,1034712,312536,1437552
fail10_test3,1,0.0.11.5,16568,94184,396,1045700,309908,1466756
fail10_test3,1,0.0.11.6,17732,62504,276,1080260,346892,1507664
fail10_test4,1,0.0.1.1,16328,93980,420,897928,276300,1284956
fail10_test4,1,0.0.1.2,17408,60024,264,919148,317016,1313860
fail10_test4,1,0.0.1.3,17652,52244,264,914796,331120,1316076
fail10_test4,1,0.0.1.4,18080,38936,84,935632,348136,1340868
fail10_test4,1,0.0.1.5,18376,29988,0,916624,346708,1311696
fail10_test4,1,0.0.1.6,17252,64392,300,871408,311408,1264760
fail10_test4,1,0.0.2.1,17492,62564,192,1127892,330448,1538588
fail10_test4,1,0.0.2.2,17540,57892,144,1210212,353580,1639368
fail10_test4,1,0.0.2.3,18520,24028,108,1301612,401448,1745716
fail10_test4,1,0.0.2.4,18124,38120,36,1271464,377028,1704772
fail10_test4,1,0.0.2.5,17004,83228,120,1170064,329252,1599668
fail10_test4,1,0.0.2.6,17012,82552,204,1151504,330072,1581344
fail10_test4,1,0.0.3.1,17636,46772,108,1207396,347724,1619636
fail10_test4,1,0.0.3.2,17448,59404,144,1226712,346044,1649752
fail10_test4,1,0.0.3.3,17008,80260,144,1205188,331356,1633956
fail10_test4,1,0.0.3.4,18128,42332,84,1254316,376800,1691660
fail10_test4,1,0.0.3.5,17884,41644,204,1311360,381708,1752800
fail10_test4,1,0.0.3.6,16708,82772,300,1198992,335072,1633844
fail10_test4,1,0.0.4.1,16908,73504,216,1117276,314200,1522104
fail10_test4,1,0.0.4.2,17292,67504,264,1208308,343812,1637180
fail10_test4,1,0.0.4.3,16964,79696,312,1162428,334188,1593588
fail10_test4,1,0.0.4.4,17640,55676,156,1139324,341768,1554564
fail10_test4,1,0.0.4.5,17248,71364,168,1167816,334964,1591560
fail10_test4,1,0.0.4.6,17000,84596,192,1126856,332476,1561120
fail10_test4,1,0.0.5.1,17348,64988,264,1232028,354340,1668968
fail10_test4,1,0.0.5.2,18180,41108,204,1330636,392140,1782268
fail10_test4,1,0.0.5.3,17980,41048,72,1264900,381304,1705304
fail10_test4,1,0.0.5.4,16912,76876,96,1146096,321984,1561964
fail10_test4,1,0.0.5.5,17452,65812,72,1193772,345832,1622940
fail10_test4,1,0.0.5.6,17788,51096,144,1239700,376812,1685540
fail10_test4,1,0.0.6.1,17492,59792,252,912108,319616,1309260
fail10_test4,1,0.0.6.2,18136,37644,180,894208,339836,1290004
fail10_test4,1,0.0.6.3,18224,31696,72,934072,346508,1330572
fail10_test4,1,0.0.6.4,17984,41912,216,881472,331672,1273256
fail10_test4,1,0.0.6.5,18612,22688,60,895176,354168,1290704
fail10_test4,1,0.0.6.6,17844,46968,276,870656,335116,1270860
fail10_test4,1,0.0.7.1,17544,60320,108,1116380,344280,1538632
fail10_test4,1,0.0.7.2,17792,47948,72,1174552,364240,1604604
fail10_test4,1,0.0.7.3,17356,61896,204,1202356,349944,1631756
fail10_test4,1,0.0.7.4,17396,53640,228,1158340,341204,1570808
fail10_test4,1,0.0.7.5,17396,63092,120,1174960,347228,1602796
fail10_test4,1,0.0.7.6,17444,69112,72,1109124,346532,1542284
fail10_test4,1,0.0.8.1,16804,77144,120,1170452,318700,1583220
fail10_test4,1,0.0.8.2,17196,75164,84,1131556,334040,1558040
fail10_test4,1,0.0.8.3,16904,82692,288,1207644,347164,1654692
fail10_test4,1,0.0.8.4,16956,71672,156,1108104,321340,1518228
fail10_test4,1,0.0.8.5,16224,97808,240,1062076,296332,1472680
fail10_test4,1,0.0.8.6,17204,65992,108,1195180,348696,1627180
fail10_test4,1,0.0.9.1,17004,66380,180,1177392,324788,1585744
fail10_test4,1,0.0.9.2,17200,56848,156,1151944,333752,1559900
fail10_test4,1,0.0.9.3,17160,74076,372,1285552,355836,1732996
fail10_test4,1,0.0.9.4,18812,15108,108,1322216,407076,1763320
fail10_test4,1,0.0.9.5,18320,34244,156,1304588,389720,1747028
fail10_test4,1,0.0.9.6,17884,48680,108,1251224,373604,1691500
fail10_test4,1,0.0.10.1,17892,46212,192,1229636,366060,1659992
fail10_test4,1,0.0.10.2,16816,70756,348,1130516,324172,1542608
